Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1µF,C15849
"C14, C16, C23, C24, C33, C34, C35, C36",0603,8,10µF,C96446
"C2, C5, C6, C8, C9",0402,5,100nF,C1525
C27,0402,1,33nF,C507072
"J1, J2, J3",TYPE-C-SMD_USB4120-03-C,3,TYPE-C 16PLT-H10.0,C3151749
L2,L_Changjiang_FNR4030S,1,4.7uH,C167874
MK1,InvenSense_ICS-43434-6_3.5x2.65mm,1,ICS-43434,C5656610
"R1, R3, R4",0603,3,10kΩ,C98220
"R16, R20",0402,2,100kΩ,C60491
R18,0402,1,560kΩ,C132339
R2,0603,1,100kΩ,C25803
"R6, R8",0603,2,2.2kΩ,
"U1, U2, U3, U4",HDR-TH_16P-P2.54-V-F-1,4,ZX-PM2.54-1-16PY,C7499334
U10,DC-IN-TH_XDJK-0051-025,1,XDJK-0051-025,C7498153
"U5, U6",SOT-23-6,2,SN74LVC1T45DBV,C7843
U8,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,EA8212HT6R,C609568
