Designator,Mid X,Mid Y,Rotation,Layer
C1,162.756728,-100.663695,0.0,top
C14,177.225,-111.5,180.0,top
C16,176.922069,-121.465626,0.0,top
C2,162.212566,-99.197479,0.0,top
C23,177.25,-109.5,180.0,top
C24,177.0,-123.5,0.0,top
C27,173.25,-116.0,0.0,top
C3,144.615289,-119.274491,90.0,top
C30,143.25,-119.0,270.0,top
C33,173.0,-133.5,270.0,top
C34,154.75,-133.5,270.0,top
C35,175.5,-147.0,270.0,top
C5,164.613751,-115.566278,270.0,top
C6,158.968062,-115.513373,270.0,top
C8,164.51805,-109.044792,270.0,top
C9,158.97817,-109.059908,270.0,top
CGQ1,149.25,-118.5,180.0,top
H1,113.5,-150.0,0.0,top
H2,183.5,-60.0,0.0,top
H3,113.5,-60.0,0.0,top
H4,183.5,-150.0,0.0,top
J1,160.802855,-133.56404,180.0,top
J2,178.99142,-133.467248,180.0,top
L2,178.0,-115.75,90.0,top
MK1,159.35,-102.292,0.0,top
R1,156.808727,-102.812634,90.0,top
R10,126.322189,-134.006331,90.0,top
R16,169.870626,-120.0,180.0,top
R18,169.364253,-117.966948,90.0,top
R2,159.345634,-98.358561,270.0,top
R20,174.751443,-121.190853,270.0,top
R3,141.477454,-120.597931,270.0,top
R4,126.236492,-125.75565,90.0,top
R5,131.238044,-105.715493,0.0,top
R6,137.643293,-105.658809,180.0,top
R7,126.238323,-142.300038,90.0,top
R8,116.306193,-134.040342,90.0,top
R9,136.32118,-134.091357,90.0,top
SW1,131.287674,-125.469778,0.0,top
SW2,134.5,-108.75,0.0,top
SW3,131.270669,-141.964712,0.0,top
SW4,121.315166,-133.75,0.0,top
SW5,141.248519,-133.813684,0.0,top
SW6,131.25,-133.75,0.0,top
U1,125.61,-77.446766,270.0,top
U10,168.607658,-146.757781,90.0,top
U2,143.39,-77.446766,270.0,top
U3,153.61,-77.446766,270.0,top
U4,171.39,-77.446766,270.0,top
U5,161.798229,-114.937877,0.0,top
U6,161.75,-108.5,0.0,top
U8,173.277999,-118.483895,0.0,top
