Designator,Mid X,Mid Y,Rotation,Layer
C1,163.5,-122.0,90.0,bottom
C2,165.0,-121.5,270.0,bottom
C3,143.97,-90.22,0.0,bottom
C4,134.0,-102.0,0.0,bottom
CGQ1,164.0,-126.0,0.0,top
H1,105.0,-85.0,0.0,top
H2,175.0,-85.0,0.0,top
H3,105.0,-135.0,0.0,top
H4,175.0,-135.0,0.0,top
R1,167.0,-121.5,90.0,bottom
SW1,131.0,-91.0,0.0,top
SW2,131.0,-129.0,0.0,top
SW3,112.0,-110.0,0.0,top
SW4,150.0,-110.0,0.0,top
SW5,131.0,-110.0,0.0,top
SW6,164.0,-100.0,0.0,top
U1,138.75,-98.25,180.0,bottom
USBC1,140.0,-85.09,180.0,bottom
