Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C3, C4, C5, C6, C7, C8, C9",0402,24,100nF,C1525
C26,0402,1,33nF,C507072
"C27, C28, C30, C31, C33, C34",0603,6,10µF,C96446
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm - no silkscreen,24,WS2812B-2020,C52917434
"J1, J2",TYPE-C-SMD_USB4120-03-C,2,USB_C_Receptacle_USB2.0_16P,C3151749
L1,L_Changjiang_FNR4030S,1,4.7uH,C167874
"R1, R2",0603,2,33Ω,C23140
"R3, R9",0402,2,100kΩ,C60491
R4,0402,1,560kΩ,C132339
U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,EA8212HT6R,C609568
