Designator,Mid X,Mid Y,Rotation,Layer
C1,112.621621,-142.541196,300.0,top
C10,184.434005,-137.024156,120.0,top
C11,179.289005,-128.128411,120.0,top
C12,175.8375,-118.148875,60.0,bottom
C13,170.67,-109.1985,60.0,bottom
C14,165.5025,-100.248125,60.0,bottom
C15,158.612863,-92.403062,120.0,top
C16,153.350039,-83.389493,120.0,top
C17,150.031317,-77.44289,180.0,top
C18,146.562042,-83.422222,240.0,top
C19,141.390859,-92.396516,240.0,top
C2,119.008626,-142.965445,0.0,top
C20,134.4975,-100.248125,300.0,bottom
C21,129.329999,-109.1985,300.0,bottom
C22,124.1625,-118.148875,300.0,bottom
C23,120.711852,-128.164373,240.0,top
C24,115.550987,-137.081528,240.0,top
C26,169.769118,-123.950793,330.0,bottom
C27,171.87,-129.77,150.0,bottom
C28,172.67,-122.89,240.0,bottom
C3,129.311721,-143.037449,0.0,top
C30,134.07,-135.35,330.0,bottom
C31,174.25,-122.01,240.0,bottom
C33,145.35,-104.74,270.0,bottom
C34,172.65,-131.12,150.0,bottom
C4,139.665,-145.0,180.0,bottom
C5,150.0,-145.0,180.0,bottom
C6,160.335,-145.0,180.0,bottom
C7,170.710732,-143.016837,0.0,top
C8,181.026915,-143.016837,0.0,top
C9,187.38098,-142.682988,60.0,top
D1,110.825639,-143.598161,120.0,top
D10,186.1725,-136.049625,300.0,top
D11,181.005,-127.09925,300.0,top
D12,175.8375,-118.148875,300.0,top
D13,170.67,-109.1985,300.0,top
D14,165.5025,-100.248125,300.0,top
D15,160.335,-91.29775,300.0,top
D16,155.1675,-82.347375,300.0,top
D17,150.0,-75.397,0.0,top
D18,144.8325,-82.347375,60.0,top
D19,139.665,-91.29775,60.0,top
D2,118.995,-145.0,180.0,top
D20,134.4975,-100.248125,60.0,top
D21,129.329999,-109.1985,60.0,top
D22,124.1625,-118.148875,60.0,top
D23,118.995,-127.09925,60.0,top
D24,113.8275,-136.049625,60.0,top
D3,129.329999,-145.0,180.0,top
D4,139.665,-145.0,180.0,top
D5,150.0,-145.0,180.0,top
D6,160.335,-145.0,180.0,top
D7,170.67,-145.0,180.0,top
D8,181.005,-145.0,180.0,top
D9,189.02,-143.84,240.0,top
H1,150.0,-90.0,0.0,top
H2,176.961102,-136.698,0.0,top
H3,123.038897,-136.698,0.0,top
J1,133.345625,-130.607088,330.0,bottom
J2,149.896593,-102.269695,90.0,bottom
L1,169.01,-120.48,150.0,bottom
R1,114.030908,-141.759213,120.0,top
R2,112.435914,-138.361954,330.0,top
R3,175.46,-127.73,150.0,bottom
R4,174.582517,-125.589923,150.0,bottom
R9,170.270098,-128.976405,330.0,bottom
TP1-4V1,165.046119,-104.991288,180.0,bottom
TP2-LED_DATA_IN1,144.514424,-144.692369,180.0,bottom
TP3-LED_DATA_OUT1,130.272797,-113.31922,180.0,bottom
U2,170.836901,-126.109661,330.0,bottom
